"","C5_r","C5_decay","C5_0","C5_in","C5_inputtime","C5_RMSE","C4_index","C5_index","C4_r","C4_decay","C4_0","C4_in","C4_inputtime","C4_RMSE","C3_index","C3_r","C3_decay","C3_0","C3_in","C3_inputtime","C3_RMSE","C2_index","C2_r","C2_decay","C2_0","C2_in","C2_inputtime","C2_RMSE","C1_index","C1_r","C1_decay","C1_0","C1_in","C1_inputtime","C1_RMSE","sumRMSE","index","time","C1","C2","C3","C4","C5"
"11",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,200,40.2012328963426,33.715860739143,18.5764357019144,15.8014913641302,14.6186599696765
"12",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,220,39.4133851034346,33.5900671693082,18.5335856235648,15.8769763397446,14.6823719016582
"13",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,240,38.6409772401495,33.464742934139,18.4906560314203,15.9516299773036,14.7463969774499
"14",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,260,37.883706722027,33.3398862825521,18.447649388037,16.0254564425871,14.8107296959305
"15",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,280,37.1412768904371,33.2154954699969,18.404568127197,16.098459899123,14.8753645914918
"16",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,300,36.4133969028925,33.0915687584321,18.3614146541772,16.1706445079538,14.9402962339576
"17",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,320,35.6997816180691,32.9681044163013,18.318191346034,16.2420144273926,15.0055192284967
"18",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,340,35.0001514820645,32.8451007185082,18.2749005518875,16.31257381278,15.0710282155338
"19",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,360,34.3142324194901,32.7225559463932,18.2315445931966,16.3823268162512,15.1368178706611
"20",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,380,33.6417557261766,32.6004683877085,18.1881257640335,16.4512775865053,15.2028829045478
