"","C2_r","C2_decay","C2_0","C2_in","C2_inputtime","C2_RMSE","C1_index","C1_r","C1_decay","C1_0","C1_in","C1_inputtime","C1_RMSE","C2_index","sumRMSE","index","time","C1","C2"
"19",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,129,83.7848805940066,38.8784660648781
"20",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,138,82.6158129851785,38.5996576954945
"21",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,141,82.2297595255723,38.5071665803134
"22",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,153,80.7035012650885,38.1394130514906
"23",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,156,80.3263833899852,38.0480247453555
"24",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,180,77.3721942149706,37.3247577303106
"25",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,219,72.801563690843,36.178655708447
"26",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,225,72.122765571101,36.0054833609131
"27",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,229,71.6737525253692,35.8904958542908
"28",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,230,71.5619366213049,35.8618063993625
"29",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,294,64.7569445250631,34.072591336478
"30",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,310,63.1593202234456,33.6394136419117
"31",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,317,62.4728118595547,33.4516342935151
"32",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,422,53.0267681220742,30.7575109610256
"33",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,433,52.123856854346,30.488139570097
"34",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,520,45.5035253015914,28.4391157977283
"35",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,614,39.2924147175925,26.379722493616
"36",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,643,37.5530978811794,25.7749976755426
"37",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,743,32.1247960730588,23.7940829638969
"38",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,774,30.6069928503545,23.2114769121356
"39",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,779,30.3689925529222,23.1188534243221
"40",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,973,22.4330148013323,19.7966059349235
"41",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,1134,17.4469999108935,17.4050780751059
"42",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,1194,15.88683497644,16.5896863535415
